Gaze Tracking Log with System Metrics
==================================================
Session: 20251209_180354
Start Time: 2025-12-09T18:03:54.333703
==================================================

Time: 2025-12-09T18:04:14.904083Z | Gaze: (672, 228) | Conf: 0.885 | CPU: 7.1% | RAM: 11683.68MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.938527Z | Gaze: (679, 212) | Conf: 0.805 | CPU: 0.0% | RAM: 11685.49MB | Mem%: 73.0%
Time: 2025-12-09T18:04:14.967678Z | Gaze: (691, 189) | Conf: 1.000 | CPU: 6.2% | RAM: 11688.33MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.002518Z | Gaze: (703, 187) | Conf: 1.000 | CPU: 0.0% | RAM: 11684.88MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.032340Z | Gaze: (721, 195) | Conf: 1.000 | CPU: 56.2% | RAM: 11689.1MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.097484Z | Gaze: (737, 217) | Conf: 1.000 | CPU: 15.2% | RAM: 11679.75MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.131571Z | Gaze: (746, 232) | Conf: 1.000 | CPU: 25.0% | RAM: 11678.66MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.152117Z | Gaze: (750, 239) | Conf: 1.000 | CPU: 12.5% | RAM: 11677.96MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.171447Z | Gaze: (753, 244) | Conf: 1.000 | CPU: 12.5% | RAM: 11679.59MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.192705Z | Gaze: (757, 250) | Conf: 1.000 | CPU: 0.0% | RAM: 11677.11MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.239591Z | Gaze: (759, 251) | Conf: 1.000 | CPU: 4.2% | RAM: 11680.33MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.277184Z | Gaze: (762, 243) | Conf: 1.000 | CPU: 45.8% | RAM: 11680.15MB | Mem%: 73.0%
Time: 2025-12-09T18:04:15.305353Z | Gaze: (770, 245) | Conf: 1.000 | CPU: 50.0% | RAM: 11678.26MB | Mem%: 73.0%
