timestamp,gaze_x,gaze_y,confidence,cpu_percent,memory_used_mb,memory_percent
2025-11-20T18:59:28.164242Z,611,243,1.0,16.0,7519.94,96.0
2025-11-20T18:59:28.195238Z,605,239,1.0,8.7,7519.92,96.0
2025-11-20T18:59:28.233493Z,604,231,1.0,14.8,7519.91,96.0
2025-11-20T18:59:28.273488Z,602,227,1.0,0.0,7519.29,96.0
2025-11-20T18:59:28.311715Z,602,230,1.0,11.4,7503.36,95.8
2025-11-20T18:59:28.342918Z,604,237,1.0,19.0,7469.63,95.4
2025-11-20T18:59:28.375904Z,616,249,1.0,15.4,7437.23,95.0
2025-11-20T18:59:28.403640Z,623,254,1.0,9.5,7398.23,94.5
2025-11-20T18:59:28.436643Z,625,253,1.0,21.1,7328.29,93.6
2025-11-20T18:59:28.470641Z,625,238,1.0,3.4,7325.99,93.6
2025-11-20T18:59:28.501724Z,628,227,1.0,10.7,7325.99,93.6
2025-11-20T18:59:28.531763Z,632,218,1.0,4.5,7325.99,93.6
2025-11-20T18:59:28.565694Z,629,206,1.0,3.6,7325.93,93.6
2025-11-20T18:59:28.602483Z,631,200,1.0,4.2,7325.93,93.6
2025-11-20T18:59:28.629423Z,628,195,1.0,4.2,7325.94,93.6
2025-11-20T18:59:28.672112Z,628,194,1.0,16.1,7325.94,93.6
2025-11-20T18:59:28.710786Z,623,196,1.0,3.8,7325.93,93.6
2025-11-20T18:59:28.740038Z,626,203,1.0,8.0,7325.93,93.6
2025-11-20T18:59:28.776123Z,628,210,1.0,10.7,7326.26,93.6
2025-11-20T18:59:28.809789Z,631,210,1.0,12.0,7326.2,93.6
2025-11-20T18:59:28.831789Z,627,209,1.0,9.1,7326.2,93.6
2025-11-20T18:59:28.868794Z,623,207,1.0,12.5,7330.18,93.6
2025-11-20T18:59:28.901246Z,614,209,1.0,8.0,7329.07,93.6
2025-11-20T18:59:28.933250Z,609,205,1.0,8.3,7329.0,93.6
2025-11-20T18:59:28.959183Z,607,198,1.0,17.4,7329.0,93.6
2025-11-20T18:59:28.984763Z,611,192,1.0,15.0,7328.9,93.6
2025-11-20T18:59:29.011204Z,616,194,1.0,5.6,7328.9,93.6
2025-11-20T18:59:29.076124Z,623,198,1.0,9.4,7328.88,93.6
2025-11-20T18:59:29.109277Z,632,207,1.0,4.5,7328.87,93.6
2025-11-20T18:59:29.138199Z,631,217,1.0,3.1,7328.87,93.6
2025-11-20T18:59:29.170279Z,626,225,1.0,0.0,7328.86,93.6
2025-11-20T18:59:29.203955Z,618,223,1.0,9.7,7328.78,93.6
2025-11-20T18:59:29.235451Z,618,217,1.0,5.3,7328.78,93.6
2025-11-20T18:59:29.266384Z,624,209,1.0,6.9,7328.77,93.6
2025-11-20T18:59:29.299146Z,627,203,1.0,8.3,7334.9,93.7
2025-11-20T18:59:29.323073Z,631,204,1.0,7.7,7334.89,93.7
2025-11-20T18:59:29.346292Z,628,210,1.0,8.3,7333.62,93.7
2025-11-20T18:59:29.379305Z,623,213,1.0,0.0,7333.61,93.7
2025-11-20T18:59:29.413816Z,620,213,1.0,12.0,7332.43,93.6
2025-11-20T18:59:29.472748Z,623,214,1.0,13.0,7332.56,93.6
2025-11-20T18:59:29.506299Z,626,215,1.0,8.0,7332.55,93.6
2025-11-20T18:59:29.539313Z,628,218,1.0,12.0,7332.55,93.6
2025-11-20T18:59:29.572578Z,623,216,1.0,7.4,7332.48,93.6
2025-11-20T18:59:29.606185Z,624,218,1.0,8.0,7332.48,93.6
2025-11-20T18:59:29.636261Z,625,217,1.0,12.5,7332.48,93.6
2025-11-20T18:59:29.671175Z,626,214,1.0,6.9,7332.48,93.6
2025-11-20T18:59:29.695189Z,622,211,1.0,0.0,7332.48,93.6
2025-11-20T18:59:29.718578Z,618,202,1.0,0.0,7332.48,93.6
2025-11-20T18:59:29.755509Z,613,205,1.0,3.4,7332.48,93.6
2025-11-20T18:59:29.786609Z,614,206,1.0,12.5,7332.48,93.6
2025-11-20T18:59:29.818271Z,615,209,1.0,0.0,7332.48,93.6
2025-11-20T18:59:29.875352Z,616,209,1.0,11.1,7330.07,93.6
2025-11-20T18:59:29.906963Z,617,213,1.0,0.0,7328.98,93.6
2025-11-20T18:59:29.943320Z,618,220,1.0,11.5,7328.76,93.6
2025-11-20T18:59:29.973344Z,621,227,1.0,25.9,7328.75,93.6
2025-11-20T18:59:30.005096Z,620,228,1.0,8.0,7328.74,93.6
2025-11-20T18:59:30.033164Z,621,231,1.0,5.0,7328.66,93.6
2025-11-20T18:59:30.058091Z,624,237,1.0,11.8,7328.65,93.6
2025-11-20T18:59:30.079100Z,628,239,1.0,4.3,7328.64,93.6
2025-11-20T18:59:30.118501Z,632,241,1.0,8.3,7328.63,93.6
2025-11-20T18:59:30.151498Z,632,238,1.0,12.0,7328.61,93.6
2025-11-20T18:59:30.178907Z,635,236,1.0,14.3,7328.61,93.6
2025-11-20T18:59:30.213949Z,636,233,1.0,11.1,7328.6,93.6
2025-11-20T18:59:30.273838Z,638,231,1.0,8.3,7328.56,93.6
2025-11-20T18:59:30.312498Z,640,231,1.0,5.7,7334.71,93.7
2025-11-20T18:59:30.337547Z,637,224,1.0,7.7,7334.7,93.7
2025-11-20T18:59:30.375680Z,632,221,1.0,6.2,7334.62,93.7
2025-11-20T18:59:30.400279Z,617,221,1.0,12.5,7334.61,93.7
2025-11-20T18:59:30.426363Z,613,227,1.0,4.2,7333.41,93.7
2025-11-20T18:59:30.451291Z,612,228,1.0,10.5,7332.54,93.6
2025-11-20T18:59:30.487790Z,624,225,1.0,7.1,7332.18,93.6
2025-11-20T18:59:30.517247Z,635,223,1.0,4.2,7332.16,93.6
2025-11-20T18:59:30.555255Z,644,219,1.0,12.0,7332.16,93.6
2025-11-20T18:59:30.585176Z,652,218,1.0,4.3,7332.08,93.6
2025-11-20T18:59:30.609711Z,648,215,1.0,12.5,7332.07,93.6
2025-11-20T18:59:30.677006Z,642,222,1.0,1.9,7331.79,93.6
2025-11-20T18:59:30.706990Z,633,236,1.0,8.0,7331.7,93.6
2025-11-20T18:59:30.739986Z,627,246,1.0,3.8,7331.69,93.6
2025-11-20T18:59:30.767993Z,621,251,1.0,13.0,7331.68,93.6
2025-11-20T18:59:30.796004Z,612,235,1.0,15.8,7331.68,93.6
2025-11-20T18:59:30.818677Z,603,229,1.0,0.0,7331.64,93.6
2025-11-20T18:59:30.852683Z,600,223,1.0,20.0,7331.61,93.6
2025-11-20T18:59:30.886800Z,606,223,1.0,8.3,7331.61,93.6
2025-11-20T18:59:30.927262Z,622,229,1.0,5.6,7309.52,93.4
2025-11-20T18:59:30.955324Z,641,230,1.0,15.8,7310.37,93.4
2025-11-20T18:59:30.979330Z,658,240,1.0,11.1,7310.38,93.4
2025-11-20T18:59:31.014952Z,670,242,1.0,3.3,7309.83,93.4
2025-11-20T18:59:31.072952Z,686,254,1.0,7.1,7309.86,93.4
2025-11-20T18:59:31.104441Z,702,263,1.0,4.3,7309.84,93.4
